event_id,timestamp,event_type,user,source_ip,source_asset,destination_asset,description
EVT-000001,2026-09-03T12:30:49.616319,LOGIN_SUCCESS,analyst01,192.168.10.166,CLOUD-STORAGE-01,CLOUD-STORAGE-01,analyst01 performed LOGIN_SUCCESS on CLOUD-STORAGE-01
EVT-000002,2026-09-03T12:31:49.616319,VPN_CONNECTION,engineer02,192.168.10.15,CLOUD-STORAGE-01,CLOUD-STORAGE-01,engineer02 performed VPN_CONNECTION on CLOUD-STORAGE-01
EVT-000003,2026-09-03T12:32:49.616319,TELEMETRY_ACCESS,analyst01,192.168.10.250,RACE-STRATEGY-01,RACE-STRATEGY-01,analyst01 performed TELEMETRY_ACCESS on RACE-STRATEGY-01
EVT-000004,2026-09-03T12:33:49.616319,FILE_ACCESS,strategist01,192.168.10.45,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,strategist01 performed FILE_ACCESS on ENGINEER-LAPTOP-01
EVT-000005,2026-09-03T12:34:49.616319,NETWORK_CONNECTION,engineer01,192.168.10.48,CLOUD-STORAGE-01,CLOUD-STORAGE-01,engineer01 performed NETWORK_CONNECTION on CLOUD-STORAGE-01
EVT-000006,2026-09-03T12:35:49.616319,FILE_ACCESS,engineer02,192.168.10.155,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,engineer02 performed FILE_ACCESS on ENGINEER-LAPTOP-02
EVT-000007,2026-09-03T12:36:49.616319,NETWORK_CONNECTION,analyst01,192.168.10.38,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,analyst01 performed NETWORK_CONNECTION on ENGINEER-LAPTOP-01
EVT-000008,2026-09-03T12:37:49.616319,VPN_CONNECTION,engineer02,192.168.10.124,RACE-STRATEGY-01,RACE-STRATEGY-01,engineer02 performed VPN_CONNECTION on RACE-STRATEGY-01
EVT-000009,2026-09-03T12:38:49.616319,GIT_ACCESS,engineer01,192.168.10.239,GIT-SERVER-01,GIT-SERVER-01,engineer01 performed GIT_ACCESS on GIT-SERVER-01
EVT-000010,2026-09-03T12:39:49.616319,VPN_CONNECTION,engineer01,192.168.10.138,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,engineer01 performed VPN_CONNECTION on TELEMETRY-SERVER-01
EVT-000011,2026-09-03T12:40:49.616319,TELEMETRY_ACCESS,engineer02,192.168.10.89,RACE-STRATEGY-01,RACE-STRATEGY-01,engineer02 performed TELEMETRY_ACCESS on RACE-STRATEGY-01
EVT-000012,2026-09-03T12:41:49.616319,VPN_CONNECTION,engineer02,192.168.10.177,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer02 performed VPN_CONNECTION on ENGINEER-LAPTOP-01
EVT-000013,2026-09-03T12:42:49.616319,NETWORK_CONNECTION,engineer01,192.168.10.156,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,engineer01 performed NETWORK_CONNECTION on ENGINEER-LAPTOP-02
EVT-000014,2026-09-03T12:43:49.616319,LOGIN_SUCCESS,engineer02,192.168.10.44,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer02 performed LOGIN_SUCCESS on ENGINEER-LAPTOP-01
EVT-000015,2026-09-03T12:44:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.149,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,engineer01 performed LOGIN_SUCCESS on ENGINEER-LAPTOP-02
EVT-000016,2026-09-03T12:45:49.616319,NETWORK_CONNECTION,engineer02,192.168.10.18,GIT-SERVER-01,GIT-SERVER-01,engineer02 performed NETWORK_CONNECTION on GIT-SERVER-01
EVT-000017,2026-09-03T12:46:49.616319,LOGIN_SUCCESS,analyst01,192.168.10.207,CLOUD-STORAGE-01,CLOUD-STORAGE-01,analyst01 performed LOGIN_SUCCESS on CLOUD-STORAGE-01
EVT-000018,2026-09-03T12:47:49.616319,TELEMETRY_ACCESS,engineer01,192.168.10.175,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,engineer01 performed TELEMETRY_ACCESS on TELEMETRY-SERVER-01
EVT-000019,2026-09-03T12:48:49.616319,NETWORK_CONNECTION,analyst01,192.168.10.23,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,analyst01 performed NETWORK_CONNECTION on ENGINEER-LAPTOP-02
EVT-000020,2026-09-03T12:49:49.616319,GIT_ACCESS,analyst01,192.168.10.136,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,analyst01 performed GIT_ACCESS on ENGINEER-LAPTOP-02
EVT-000021,2026-09-03T12:50:49.616319,VPN_CONNECTION,strategist01,192.168.10.250,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,strategist01 performed VPN_CONNECTION on ENGINEER-LAPTOP-02
EVT-000022,2026-09-03T12:51:49.616319,LOGIN_SUCCESS,strategist01,192.168.10.92,RACE-STRATEGY-01,RACE-STRATEGY-01,strategist01 performed LOGIN_SUCCESS on RACE-STRATEGY-01
EVT-000023,2026-09-03T12:52:49.616319,FILE_ACCESS,strategist01,192.168.10.36,CLOUD-STORAGE-01,CLOUD-STORAGE-01,strategist01 performed FILE_ACCESS on CLOUD-STORAGE-01
EVT-000024,2026-09-03T12:53:49.616319,TELEMETRY_ACCESS,engineer02,192.168.10.179,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,engineer02 performed TELEMETRY_ACCESS on TELEMETRY-SERVER-01
EVT-000025,2026-09-03T12:54:49.616319,GIT_ACCESS,engineer02,192.168.10.151,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,engineer02 performed GIT_ACCESS on TELEMETRY-SERVER-01
EVT-000026,2026-09-03T12:55:49.616319,FILE_ACCESS,engineer02,192.168.10.88,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer02 performed FILE_ACCESS on ENGINEER-LAPTOP-01
EVT-000027,2026-09-03T12:56:49.616319,TELEMETRY_ACCESS,strategist01,192.168.10.123,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,strategist01 performed TELEMETRY_ACCESS on ENGINEER-LAPTOP-01
EVT-000028,2026-09-03T12:57:49.616319,FILE_ACCESS,engineer01,192.168.10.248,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer01 performed FILE_ACCESS on ENGINEER-LAPTOP-01
EVT-000029,2026-09-03T12:58:49.616319,FILE_ACCESS,strategist01,192.168.10.112,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,strategist01 performed FILE_ACCESS on ENGINEER-LAPTOP-01
EVT-000030,2026-09-03T12:59:49.616319,VPN_CONNECTION,engineer02,192.168.10.157,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer02 performed VPN_CONNECTION on ENGINEER-LAPTOP-01
EVT-000031,2026-09-03T13:00:49.616319,TELEMETRY_ACCESS,engineer02,192.168.10.12,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer02 performed TELEMETRY_ACCESS on ENGINEER-LAPTOP-01
EVT-000032,2026-09-03T13:01:49.616319,VPN_CONNECTION,engineer02,192.168.10.177,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,engineer02 performed VPN_CONNECTION on ENGINEER-LAPTOP-02
EVT-000033,2026-09-03T13:02:49.616319,GIT_ACCESS,analyst01,192.168.10.46,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,analyst01 performed GIT_ACCESS on ENGINEER-LAPTOP-01
EVT-000034,2026-09-03T13:03:49.616319,GIT_ACCESS,analyst01,192.168.10.201,CLOUD-STORAGE-01,CLOUD-STORAGE-01,analyst01 performed GIT_ACCESS on CLOUD-STORAGE-01
EVT-000035,2026-09-03T13:04:49.616319,VPN_CONNECTION,engineer01,192.168.10.87,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,engineer01 performed VPN_CONNECTION on ENGINEER-LAPTOP-02
EVT-000036,2026-09-03T13:05:49.616319,FILE_ACCESS,engineer02,192.168.10.48,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,engineer02 performed FILE_ACCESS on ENGINEER-LAPTOP-02
EVT-000037,2026-09-03T13:06:49.616319,VPN_CONNECTION,engineer01,192.168.10.241,CLOUD-STORAGE-01,CLOUD-STORAGE-01,engineer01 performed VPN_CONNECTION on CLOUD-STORAGE-01
EVT-000038,2026-09-03T13:07:49.616319,FILE_ACCESS,engineer01,192.168.10.76,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer01 performed FILE_ACCESS on ENGINEER-LAPTOP-01
EVT-000039,2026-09-03T13:08:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.192,CLOUD-STORAGE-01,CLOUD-STORAGE-01,engineer01 performed LOGIN_SUCCESS on CLOUD-STORAGE-01
EVT-000040,2026-09-03T13:09:49.616319,VPN_CONNECTION,strategist01,192.168.10.221,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,strategist01 performed VPN_CONNECTION on TELEMETRY-SERVER-01
EVT-000041,2026-09-03T13:10:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.116,CLOUD-STORAGE-01,CLOUD-STORAGE-01,engineer01 performed LOGIN_SUCCESS on CLOUD-STORAGE-01
EVT-000042,2026-09-03T13:11:49.616319,NETWORK_CONNECTION,engineer01,192.168.10.22,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer01 performed NETWORK_CONNECTION on ENGINEER-LAPTOP-01
EVT-000043,2026-09-03T13:12:49.616319,GIT_ACCESS,strategist01,192.168.10.167,RACE-STRATEGY-01,RACE-STRATEGY-01,strategist01 performed GIT_ACCESS on RACE-STRATEGY-01
EVT-000044,2026-09-03T13:13:49.616319,TELEMETRY_ACCESS,engineer02,192.168.10.132,GIT-SERVER-01,GIT-SERVER-01,engineer02 performed TELEMETRY_ACCESS on GIT-SERVER-01
EVT-000045,2026-09-03T13:14:49.616319,NETWORK_CONNECTION,analyst01,192.168.10.37,RACE-STRATEGY-01,RACE-STRATEGY-01,analyst01 performed NETWORK_CONNECTION on RACE-STRATEGY-01
EVT-000046,2026-09-03T13:15:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.113,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer01 performed LOGIN_SUCCESS on ENGINEER-LAPTOP-01
EVT-000047,2026-09-03T13:16:49.616319,NETWORK_CONNECTION,engineer02,192.168.10.154,RACE-STRATEGY-01,RACE-STRATEGY-01,engineer02 performed NETWORK_CONNECTION on RACE-STRATEGY-01
EVT-000048,2026-09-03T13:17:49.616319,TELEMETRY_ACCESS,strategist01,192.168.10.205,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,strategist01 performed TELEMETRY_ACCESS on ENGINEER-LAPTOP-02
EVT-000049,2026-09-03T13:18:49.616319,TELEMETRY_ACCESS,engineer01,192.168.10.77,GIT-SERVER-01,GIT-SERVER-01,engineer01 performed TELEMETRY_ACCESS on GIT-SERVER-01
EVT-000050,2026-09-03T13:19:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.223,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer01 performed LOGIN_SUCCESS on ENGINEER-LAPTOP-01
EVT-000051,2026-09-03T13:20:49.616319,LOGIN_SUCCESS,analyst01,192.168.10.70,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,analyst01 performed LOGIN_SUCCESS on ENGINEER-LAPTOP-02
EVT-000052,2026-09-03T13:21:49.616319,TELEMETRY_ACCESS,strategist01,192.168.10.172,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,strategist01 performed TELEMETRY_ACCESS on TELEMETRY-SERVER-01
EVT-000053,2026-09-03T13:22:49.616319,LOGIN_SUCCESS,strategist01,192.168.10.147,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,strategist01 performed LOGIN_SUCCESS on TELEMETRY-SERVER-01
EVT-000054,2026-09-03T13:23:49.616319,NETWORK_CONNECTION,engineer01,192.168.10.32,RACE-STRATEGY-01,RACE-STRATEGY-01,engineer01 performed NETWORK_CONNECTION on RACE-STRATEGY-01
EVT-000055,2026-09-03T13:24:49.616319,NETWORK_CONNECTION,strategist01,192.168.10.87,GIT-SERVER-01,GIT-SERVER-01,strategist01 performed NETWORK_CONNECTION on GIT-SERVER-01
EVT-000056,2026-09-03T13:25:49.616319,NETWORK_CONNECTION,strategist01,192.168.10.90,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,strategist01 performed NETWORK_CONNECTION on TELEMETRY-SERVER-01
EVT-000057,2026-09-03T13:26:49.616319,GIT_ACCESS,engineer01,192.168.10.195,RACE-STRATEGY-01,RACE-STRATEGY-01,engineer01 performed GIT_ACCESS on RACE-STRATEGY-01
EVT-000058,2026-09-03T13:27:49.616319,FILE_ACCESS,analyst01,192.168.10.99,RACE-STRATEGY-01,RACE-STRATEGY-01,analyst01 performed FILE_ACCESS on RACE-STRATEGY-01
EVT-000059,2026-09-03T13:28:49.616319,VPN_CONNECTION,engineer02,192.168.10.95,CLOUD-STORAGE-01,CLOUD-STORAGE-01,engineer02 performed VPN_CONNECTION on CLOUD-STORAGE-01
EVT-000060,2026-09-03T13:29:49.616319,GIT_ACCESS,analyst01,192.168.10.29,RACE-STRATEGY-01,RACE-STRATEGY-01,analyst01 performed GIT_ACCESS on RACE-STRATEGY-01
EVT-000061,2026-09-03T13:30:49.616319,TELEMETRY_ACCESS,analyst01,192.168.10.170,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,analyst01 performed TELEMETRY_ACCESS on TELEMETRY-SERVER-01
EVT-000062,2026-09-03T13:31:49.616319,NETWORK_CONNECTION,analyst01,192.168.10.103,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,analyst01 performed NETWORK_CONNECTION on ENGINEER-LAPTOP-01
EVT-000063,2026-09-03T13:32:49.616319,FILE_ACCESS,analyst01,192.168.10.149,GIT-SERVER-01,GIT-SERVER-01,analyst01 performed FILE_ACCESS on GIT-SERVER-01
EVT-000064,2026-09-03T13:33:49.616319,TELEMETRY_ACCESS,engineer01,192.168.10.115,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,engineer01 performed TELEMETRY_ACCESS on TELEMETRY-SERVER-01
EVT-000065,2026-09-03T13:34:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.77,RACE-STRATEGY-01,RACE-STRATEGY-01,engineer01 performed LOGIN_SUCCESS on RACE-STRATEGY-01
EVT-000066,2026-09-03T13:35:49.616319,TELEMETRY_ACCESS,analyst01,192.168.10.14,CLOUD-STORAGE-01,CLOUD-STORAGE-01,analyst01 performed TELEMETRY_ACCESS on CLOUD-STORAGE-01
EVT-000067,2026-09-03T13:36:49.616319,NETWORK_CONNECTION,strategist01,192.168.10.81,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,strategist01 performed NETWORK_CONNECTION on ENGINEER-LAPTOP-01
EVT-000068,2026-09-03T13:37:49.616319,TELEMETRY_ACCESS,engineer02,192.168.10.93,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,engineer02 performed TELEMETRY_ACCESS on TELEMETRY-SERVER-01
EVT-000069,2026-09-03T13:38:49.616319,NETWORK_CONNECTION,engineer02,192.168.10.185,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,engineer02 performed NETWORK_CONNECTION on TELEMETRY-SERVER-01
EVT-000070,2026-09-03T13:39:49.616319,LOGIN_SUCCESS,engineer02,192.168.10.242,RACE-STRATEGY-01,RACE-STRATEGY-01,engineer02 performed LOGIN_SUCCESS on RACE-STRATEGY-01
EVT-000071,2026-09-03T13:40:49.616319,GIT_ACCESS,strategist01,192.168.10.162,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,strategist01 performed GIT_ACCESS on TELEMETRY-SERVER-01
EVT-000072,2026-09-03T13:41:49.616319,GIT_ACCESS,strategist01,192.168.10.221,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,strategist01 performed GIT_ACCESS on ENGINEER-LAPTOP-02
EVT-000073,2026-09-03T13:42:49.616319,FILE_ACCESS,engineer02,192.168.10.118,CLOUD-STORAGE-01,CLOUD-STORAGE-01,engineer02 performed FILE_ACCESS on CLOUD-STORAGE-01
EVT-000074,2026-09-03T13:43:49.616319,VPN_CONNECTION,engineer01,192.168.10.38,GIT-SERVER-01,GIT-SERVER-01,engineer01 performed VPN_CONNECTION on GIT-SERVER-01
EVT-000075,2026-09-03T13:44:49.616319,VPN_CONNECTION,analyst01,192.168.10.227,GIT-SERVER-01,GIT-SERVER-01,analyst01 performed VPN_CONNECTION on GIT-SERVER-01
EVT-000076,2026-09-03T13:45:49.616319,FILE_ACCESS,engineer02,192.168.10.48,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer02 performed FILE_ACCESS on ENGINEER-LAPTOP-01
EVT-000077,2026-09-03T13:46:49.616319,FILE_ACCESS,engineer02,192.168.10.39,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,engineer02 performed FILE_ACCESS on ENGINEER-LAPTOP-02
EVT-000078,2026-09-03T13:47:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.159,RACE-STRATEGY-01,RACE-STRATEGY-01,engineer01 performed LOGIN_SUCCESS on RACE-STRATEGY-01
EVT-000079,2026-09-03T13:48:49.616319,GIT_ACCESS,strategist01,192.168.10.34,RACE-STRATEGY-01,RACE-STRATEGY-01,strategist01 performed GIT_ACCESS on RACE-STRATEGY-01
EVT-000080,2026-09-03T13:49:49.616319,NETWORK_CONNECTION,analyst01,192.168.10.72,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,analyst01 performed NETWORK_CONNECTION on ENGINEER-LAPTOP-02
EVT-000081,2026-09-03T13:50:49.616319,FILE_ACCESS,analyst01,192.168.10.66,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,analyst01 performed FILE_ACCESS on ENGINEER-LAPTOP-01
EVT-000082,2026-09-03T13:51:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.37,GIT-SERVER-01,GIT-SERVER-01,engineer01 performed LOGIN_SUCCESS on GIT-SERVER-01
EVT-000083,2026-09-03T13:52:49.616319,VPN_CONNECTION,strategist01,192.168.10.172,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,strategist01 performed VPN_CONNECTION on ENGINEER-LAPTOP-01
